pair	before_ns	after_ns	delta_pct
1	281342.041	259375.000	-7.807948
2	275284.994	255137.410	-7.318809
3	279299.521	264226.440	-5.396744
4	278457.724	261774.414	-5.991326
5	274088.216	261343.913	-4.649708
6	281711.141	264417.033	-6.138950
7	280592.854	261599.406	-6.769042
8	270580.933	258487.549	-4.469415
9	279959.147	262387.573	-6.276478
10	268489.054	257030.924	-4.267634
11	267926.107	252498.331	-5.758221
12	268162.109	252587.891	-5.807763
