goos: darwin
goarch: arm64
pkg: github.com/microsoft/TypeScript/tsc/internal/ast
cpu: Apple M1
BenchmarkTraversalSizeScaling/expression/subtrees-1024/representation-8         	   20557	     58769 ns/op	      7169 logical-nodes	         9.564 ns/visit	      6145 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-1024/representation-8         	   20922	     57290 ns/op	      7169 logical-nodes	         9.323 ns/visit	      6145 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-1024/representation-8         	   21236	     58438 ns/op	      7169 logical-nodes	         9.510 ns/visit	      6145 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-2048/representation-8         	   10192	    113113 ns/op	     14337 logical-nodes	         9.204 ns/visit	     12289 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-2048/representation-8         	   10982	    111047 ns/op	     14337 logical-nodes	         9.036 ns/visit	     12289 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-2048/representation-8         	   10957	    111972 ns/op	     14337 logical-nodes	         9.112 ns/visit	     12289 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-2048/representation-8         	   10755	    112823 ns/op	     14337 logical-nodes	         9.181 ns/visit	     12289 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-2048/representation-8         	   10454	    111778 ns/op	     14337 logical-nodes	         9.096 ns/visit	     12289 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-2048/representation-8         	   10902	    109402 ns/op	     14337 logical-nodes	         8.902 ns/visit	     12289 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-4096/representation-8         	    5041	    220454 ns/op	     28673 logical-nodes	         8.970 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-4096/representation-8         	    5385	    222396 ns/op	     28673 logical-nodes	         9.049 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-4096/representation-8         	    5388	    220607 ns/op	     28673 logical-nodes	         8.976 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-4096/representation-8         	    5038	    217605 ns/op	     28673 logical-nodes	         8.854 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-4096/representation-8         	    5218	    219002 ns/op	     28673 logical-nodes	         8.911 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-4096/representation-8         	    5349	    216462 ns/op	     28673 logical-nodes	         8.808 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/representation-8            	  424166	      3206 ns/op	       225.0 logical-nodes	        14.25 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/representation-8            	  425410	      2672 ns/op	       225.0 logical-nodes	        11.87 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/representation-8            	  418062	      2614 ns/op	       225.0 logical-nodes	        11.62 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/representation-8            	  430330	      2614 ns/op	       225.0 logical-nodes	        11.62 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/representation-8            	  428457	      2668 ns/op	       225.0 logical-nodes	        11.86 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/representation-8            	  399513	      2636 ns/op	       225.0 logical-nodes	        11.72 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-64/representation-8            	  221558	      5403 ns/op	       449.0 logical-nodes	        12.03 ns/visit	       449.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-64/representation-8            	  223560	      5159 ns/op	       449.0 logical-nodes	        11.49 ns/visit	       449.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-64/representation-8            	  220920	      5209 ns/op	       449.0 logical-nodes	        11.60 ns/visit	       449.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-64/representation-8            	  219343	      5501 ns/op	       449.0 logical-nodes	        12.25 ns/visit	       449.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-64/representation-8            	  222664	      5326 ns/op	       449.0 logical-nodes	        11.86 ns/visit	       449.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-64/representation-8            	  223353	      5221 ns/op	       449.0 logical-nodes	        11.63 ns/visit	       449.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-128/representation-8           	  113280	     12808 ns/op	       897.0 logical-nodes	        14.28 ns/visit	       897.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-128/representation-8           	  115378	     12787 ns/op	       897.0 logical-nodes	        14.26 ns/visit	       897.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-128/representation-8           	  115270	     12811 ns/op	       897.0 logical-nodes	        14.28 ns/visit	       897.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-128/representation-8           	   94010	     12662 ns/op	       897.0 logical-nodes	        14.12 ns/visit	       897.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-128/representation-8           	   91778	     12938 ns/op	       897.0 logical-nodes	        14.42 ns/visit	       897.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-128/representation-8           	   93872	     12666 ns/op	       897.0 logical-nodes	        14.12 ns/visit	       897.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/representation-8           	   57220	     20931 ns/op	      1793 logical-nodes	        11.67 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/representation-8           	   45658	     25408 ns/op	      1793 logical-nodes	        14.17 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/representation-8           	   56761	     20876 ns/op	      1793 logical-nodes	        11.64 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/representation-8           	   56792	     21547 ns/op	      1793 logical-nodes	        12.02 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/representation-8           	   57808	     25671 ns/op	      1793 logical-nodes	        14.32 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/representation-8           	   56509	     20931 ns/op	      1793 logical-nodes	        11.67 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-512/representation-8           	   21855	     57087 ns/op	      3585 logical-nodes	        15.92 ns/visit	      3585 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-512/representation-8           	   21980	     51321 ns/op	      3585 logical-nodes	        14.32 ns/visit	      3585 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-512/representation-8           	   23170	     43757 ns/op	      3585 logical-nodes	        12.21 ns/visit	      3585 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-512/representation-8           	   27328	     42097 ns/op	      3585 logical-nodes	        11.74 ns/visit	      3585 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-512/representation-8           	   28762	     42125 ns/op	      3585 logical-nodes	        11.75 ns/visit	      3585 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-512/representation-8           	   10000	    124693 ns/op	      3585 logical-nodes	        34.78 ns/visit	      3585 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-1024/representation-8          	   14476	    102622 ns/op	      7169 logical-nodes	        14.31 ns/visit	      7169 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-1024/representation-8          	   13903	    126123 ns/op	      7169 logical-nodes	        17.59 ns/visit	      7169 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-1024/representation-8          	   14182	     83063 ns/op	      7169 logical-nodes	        11.59 ns/visit	      7169 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-1024/representation-8          	   14374	    101561 ns/op	      7169 logical-nodes	        14.17 ns/visit	      7169 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-1024/representation-8          	   14449	     82536 ns/op	      7169 logical-nodes	        11.51 ns/visit	      7169 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-1024/representation-8          	   14286	     82820 ns/op	      7169 logical-nodes	        11.55 ns/visit	      7169 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-2048/representation-8          	    5362	    196054 ns/op	     14337 logical-nodes	        13.67 ns/visit	     14337 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-2048/representation-8          	    3288	    308647 ns/op	     14337 logical-nodes	        21.53 ns/visit	     14337 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-2048/representation-8          	    5670	    214378 ns/op	     14337 logical-nodes	        14.95 ns/visit	     14337 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-2048/representation-8          	    7090	    177178 ns/op	     14337 logical-nodes	        12.36 ns/visit	     14337 visits/op	       0 B/op	       0 allocs/op
