goos: darwin
goarch: arm64
pkg: github.com/microsoft/TypeScript/tsc/internal/ast
cpu: Apple M1
BenchmarkTraversalSizeScaling/expression/subtrees-4096/store-8       	    2395	    216535 ns/op	     28673 logical-nodes	         8.810 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-4096/store-8       	    2371	    223246 ns/op	     28673 logical-nodes	         9.084 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/expression/subtrees-4096/store-8       	    2361	    216605 ns/op	     28673 logical-nodes	         8.813 ns/visit	     24577 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/store-8          	  217054	      2533 ns/op	       225.0 logical-nodes	        11.26 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/store-8          	  217039	      2548 ns/op	       225.0 logical-nodes	        11.32 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/store-8          	  214556	      2548 ns/op	       225.0 logical-nodes	        11.32 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/store-8          	  211951	      2533 ns/op	       225.0 logical-nodes	        11.26 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/store-8          	  218391	      2529 ns/op	       225.0 logical-nodes	        11.24 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/store-8          	  216974	      2527 ns/op	       225.0 logical-nodes	        11.23 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/store-8          	  216528	      2530 ns/op	       225.0 logical-nodes	        11.24 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/store-8          	  216151	      2535 ns/op	       225.0 logical-nodes	        11.27 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/store-8          	  215624	      2550 ns/op	       225.0 logical-nodes	        11.34 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/store-8          	  214492	      2532 ns/op	       225.0 logical-nodes	        11.25 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/store-8          	  215994	      2533 ns/op	       225.0 logical-nodes	        11.26 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-32/store-8          	  217323	      2527 ns/op	       225.0 logical-nodes	        11.23 ns/visit	       225.0 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/store-8         	   29226	     20061 ns/op	      1793 logical-nodes	        11.19 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/store-8         	   29458	     20126 ns/op	      1793 logical-nodes	        11.22 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/store-8         	   29263	     20142 ns/op	      1793 logical-nodes	        11.23 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/store-8         	   29481	     20184 ns/op	      1793 logical-nodes	        11.26 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/store-8         	   29406	     20055 ns/op	      1793 logical-nodes	        11.18 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/store-8         	   29476	     20061 ns/op	      1793 logical-nodes	        11.19 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/store-8         	   29416	     20131 ns/op	      1793 logical-nodes	        11.23 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/store-8         	   29061	     20146 ns/op	      1793 logical-nodes	        11.24 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/store-8         	   29442	     20052 ns/op	      1793 logical-nodes	        11.18 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/store-8         	   29407	     20058 ns/op	      1793 logical-nodes	        11.19 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/store-8         	   29502	     20053 ns/op	      1793 logical-nodes	        11.18 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-256/store-8         	   29356	     20146 ns/op	      1793 logical-nodes	        11.24 ns/visit	      1793 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-4096/store-8        	    1599	    322517 ns/op	     28673 logical-nodes	        11.25 ns/visit	     28673 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-4096/store-8        	    1648	    320852 ns/op	     28673 logical-nodes	        11.19 ns/visit	     28673 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-4096/store-8        	    1605	    321085 ns/op	     28673 logical-nodes	        11.20 ns/visit	     28673 visits/op	       0 B/op	       0 allocs/op
BenchmarkTraversalSizeScaling/full-tree/subtrees-4096/store-8        	    1647	    320492 ns/op	     28673 logical-nodes	        11.18 ns/visit	     28673 visits/op	       0 B/op	       0 allocs/op
