pair	before_ns	after_ns	delta_pct
1	270329.915	255414.755	-5.517392
2	271302.246	256058.268	-5.618818
3	270136.353	255896.484	-5.271363
4	271406.901	255590.576	-5.827532
5	270393.474	255652.385	-5.451718
6	270728.109	255869.792	-5.488280
7	271082.967	255834.513	-5.625014
8	271086.101	255467.732	-5.761405
9	270963.176	256211.466	-5.444175
10	270499.104	255649.699	-5.489632
11	270666.301	254962.688	-5.801835
12	271233.032	255074.585	-5.957404
