pair	before_ns	after_ns	delta_pct
1	4219.229	3909.884	-7.331781
2	4117.227	3883.958	-5.665692
3	4206.385	3972.064	-5.570602
4	4202.238	4023.672	-4.249307
5	4177.116	3854.077	-7.733536
6	4251.994	3957.822	-6.918440
7	4222.105	3937.491	-6.741043
8	4234.261	3970.498	-6.229253
9	4228.280	3940.245	-6.812095
10	4182.341	3982.869	-4.769366
11	4222.734	3863.867	-8.498452
12	4191.481	3942.113	-5.949416
