cell	pair	position	label	ns_per_op	bytes_per_op	allocs_per_op	visits	checksum	logical_nodes	edge_reads	attribute_reads	gc_cycles	valid
full-mixed-16384	7	2	after	255834.5126953125	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	8	1	after	255467.732421875	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	8	2	before	271086.1005859375	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	9	1	before	270963.17578125	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	9	2	after	256211.4658203125	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	10	1	after	255649.69921875	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	10	2	before	270499.1044921875	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	11	1	before	270666.30078125	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	11	2	after	254962.6875	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	12	1	after	255074.5849609375	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	12	2	before	271233.0322265625	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	1	1	control-first	255681.2333984375	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	1	2	control-second	255775.919921875	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	2	1	control-first	255583.90234375	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	2	2	control-second	254985.310546875	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	3	1	control-first	255874.30859375	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	3	2	control-second	255393.2294921875	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	4	1	control-first	255813.5166015625	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	4	2	control-second	255636.474609375	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	5	1	control-first	255321.3291015625	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	5	2	control-second	255554.4033203125	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	6	1	control-first	254043.3759765625	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	6	2	control-second	256042.1552734375	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	7	1	control-first	255648.3974609375	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	7	2	control-second	255562.98828125	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	8	1	control-first	255600.5048828125	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	8	2	control-second	255882.1201171875	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	9	1	control-first	255228.1494140625	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	9	2	control-second	255356.607421875	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	10	1	control-first	255522.2978515625	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	10	2	control-second	255908.5283203125	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	11	1	control-first	255180.7041015625	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	11	2	control-second	255252.197265625	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	12	1	control-first	255609.66015625	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	12	2	control-second	255614.2578125	0	0	16384	539464224	16384	16383	69632	0	True
expression-mixed-16384	1	1	before	135347.9404296875	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	1	2	after	132948.3232421875	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	2	1	after	133173.625	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	2	2	before	135438.19140625	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	3	1	before	134837.361328125	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	3	2	after	133950.3583984375	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	4	1	after	132792.1552734375	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	4	2	before	135682.046875	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	5	1	before	134920.2470703125	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	5	2	after	133075.3984375	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	6	1	after	133333.7001953125	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	6	2	before	135399.169921875	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	7	1	before	134891.7236328125	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	7	2	after	133340.9833984375	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	8	1	after	134416.7080078125	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	8	2	before	134776.7333984375	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	9	1	before	135023.92578125	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	9	2	after	133416.1787109375	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	10	1	after	134171.9970703125	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	10	2	before	135067.7900390625	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	11	1	before	135027.4658203125	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	11	2	after	133293.3349609375	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	12	1	after	133237.6708984375	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	12	2	before	134842.28515625	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	1	1	control-first	133326.7001953125	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	1	2	control-second	133597.6962890625	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	2	1	control-first	133128.1337890625	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	2	2	control-second	133518.392578125	0	0	12289	404896856	16384	12288	53252	0	True
