cell	pair	position	label	ns_per_op	bytes_per_op	allocs_per_op	visits	checksum	logical_nodes	edge_reads	attribute_reads	gc_cycles	valid
full-mixed-16384	7	2	after	261599.40625	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	8	1	after	258487.548828125	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	8	2	before	270580.9326171875	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	9	1	before	279959.1474609375	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	9	2	after	262387.5732421875	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	10	1	after	257030.923828125	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	10	2	before	268489.0537109375	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	11	1	before	267926.107421875	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	11	2	after	252498.3310546875	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	12	1	after	252587.890625	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	12	2	before	268162.109375	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	1	1	control-first	253092.326171875	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	1	2	control-second	252530.517578125	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	2	1	control-first	252920.6953125	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	2	2	control-second	252759.318359375	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	3	1	control-first	252853.02734375	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	3	2	control-second	252867.390625	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	4	1	control-first	252620.2802734375	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	4	2	control-second	251408.0810546875	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	5	1	control-first	253097.4931640625	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	5	2	control-second	251696.8994140625	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	6	1	control-first	252392.8623046875	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	6	2	control-second	253248.9833984375	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	7	1	control-first	252560.587890625	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	7	2	control-second	252302.4091796875	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	8	1	control-first	252210.24609375	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	8	2	control-second	252900.431640625	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	9	1	control-first	252899.9833984375	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	9	2	control-second	252562.255859375	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	10	1	control-first	252723.2666015625	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	10	2	control-second	252570.2314453125	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	11	1	control-first	253105.427734375	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	11	2	control-second	251645.8740234375	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	12	1	control-first	253134.033203125	0	0	16384	539464224	16384	16383	69632	0	True
full-mixed-16384	12	2	control-second	252254.8017578125	0	0	16384	539464224	16384	16383	69632	0	True
expression-mixed-16384	1	1	before	131552.9384765625	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	1	2	after	133041.259765625	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	2	1	after	133382.6904296875	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	2	2	before	132671.1826171875	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	3	1	before	132709.919921875	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	3	2	after	132166.259765625	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	4	1	after	132886.0673828125	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	4	2	before	132811.482421875	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	5	1	before	131584.26953125	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	5	2	after	133830.078125	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	6	1	after	133067.09765625	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	6	2	before	131640.583984375	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	7	1	before	131883.6259765625	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	7	2	after	133736.2060546875	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	8	1	after	131512.2880859375	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	8	2	before	133460.7333984375	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	9	1	before	132232.951171875	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	9	2	after	132883.7080078125	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	10	1	after	131683.59375	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	10	2	before	132183.6748046875	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	11	1	before	131570.9638671875	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	11	2	after	131534.912109375	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	12	1	after	132243.2861328125	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	12	2	before	133077.5556640625	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	1	1	control-first	132480.7939453125	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	1	2	control-second	132518.7587890625	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	2	1	control-first	132342.814453125	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	2	2	control-second	133324.9111328125	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	3	1	control-first	133125.1630859375	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	3	2	control-second	133783.162109375	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	4	1	control-first	132444.9873046875	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	4	2	control-second	132558.87890625	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	5	1	control-first	131843.05859375	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	5	2	control-second	132371.78515625	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	6	1	control-first	132139.974609375	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	6	2	control-second	131537.556640625	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	7	1	control-first	132730.998046875	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	7	2	control-second	132152.873046875	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	8	1	control-first	132823.283203125	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	8	2	control-second	132629.556640625	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	9	1	control-first	132855.9169921875	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	9	2	control-second	133172.6474609375	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	10	1	control-first	133849.2431640625	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	10	2	control-second	132437.703125	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	11	1	control-first	132291.748046875	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	11	2	control-second	131793.904296875	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	12	1	control-first	131615.3974609375	0	0	12289	404896856	16384	12288	53252	0	True
expression-mixed-16384	12	2	control-second	131605.3876953125	0	0	12289	404896856	16384	12288	53252	0	True
full-deep-4096	1	1	before	138081.35986328125	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	1	2	after	139579.1015625	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	2	1	after	139445.07861328125	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	2	2	before	137912.02807617188	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	3	1	before	138382.9140625	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	3	2	after	138407.43017578125	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	4	1	after	139684.78393554688	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	4	2	before	139675.96435546875	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	5	1	before	138019.20581054688	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	5	2	after	139405.53784179688	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	6	1	after	139382.28369140625	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	6	2	before	138137.21728515625	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	7	1	before	139554.90112304688	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	7	2	after	137908.96606445312	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	8	1	after	137954.18286132812	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	8	2	before	138058.60400390625	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	9	1	before	137844.56372070312	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	9	2	after	138860.1787109375	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	10	1	after	138153.30004882812	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	10	2	before	138160.78686523438	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	11	1	before	139755.27954101562	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	11	2	after	140173.19750976562	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	12	1	after	138073.21166992188	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	12	2	before	139589.9150390625	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	1	1	control-first	137964.49780273438	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	1	2	control-second	139896.02661132812	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	2	1	control-first	138032.44018554688	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	2	2	control-second	139548.25854492188	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	3	1	control-first	139575.490234375	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	3	2	control-second	138079.36596679688	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	4	1	control-first	139556.69140625	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	4	2	control-second	139778.70678710938	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	5	1	control-first	139496.46997070312	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	5	2	control-second	138069.41723632812	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	6	1	control-first	139725.830078125	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	6	2	control-second	138107.55419921875	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	7	1	control-first	139531.544921875	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	7	2	control-second	137945.068359375	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	8	1	control-first	138817.66772460938	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	8	2	control-second	137901.64184570312	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	9	1	control-first	139497.84326171875	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	9	2	control-second	138093.24145507812	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	10	1	control-first	139525.50244140625	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	10	2	control-second	138112.9150390625	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	11	1	control-first	139728.58666992188	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	11	2	control-second	138812.20483398438	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	12	1	control-first	139768.72778320312	0	0	4096	34481388	4096	4095	16385	0	True
full-deep-4096	12	2	control-second	138016.78466796875	0	0	4096	34481388	4096	4095	16385	0	True
