=== RUN   TestZZReverseRoles
KindEqualsEqualsEqualsToken Text: 8480
KindEqualsEqualsToken Expression: 1063
KindEqualsEqualsToken Initializer: 1063
KindEqualsEqualsToken Text: 1063
KindEqualsGreaterThanToken Expression: 9098
KindEqualsGreaterThanToken Initializer: 9098
KindEqualsGreaterThanToken Text: 9098
KindEqualsToken Expression: 29126
KindEqualsToken Initializer: 29126
KindEqualsToken Text: 29126
KindExclamationEqualsEqualsToken Expression: 2806
KindExclamationEqualsEqualsToken Initializer: 2806
KindExclamationEqualsEqualsToken Text: 2806
KindExclamationEqualsToken Expression: 430
KindExclamationEqualsToken Initializer: 430
KindExclamationEqualsToken Text: 430
KindExclamationToken Expression: 469
KindExclamationToken Initializer: 469
KindExclamationToken Text: 469
KindExportAssignment Initializer: 775
KindExportAssignment Text: 775
KindExportDeclaration Expression: 1472
KindExportDeclaration Initializer: 1472
KindExportDeclaration Text: 1472
KindExportKeyword Expression: 18945
KindExportKeyword Initializer: 18945
KindExportKeyword Text: 18945
KindExportSpecifier Expression: 1021
KindExportSpecifier Initializer: 1021
KindExportSpecifier Text: 1021
KindExpressionStatement Initializer: 62692
KindExpressionStatement Text: 62692
KindExpressionWithTypeArguments Initializer: 2576
KindExpressionWithTypeArguments Text: 2576
KindExternalModuleReference Initializer: 688
KindExternalModuleReference Text: 688
KindFalseKeyword Expression: 3661
KindFalseKeyword Initializer: 3661
KindFalseKeyword Text: 3661
KindForInStatement Text: 375
KindForOfStatement Text: 1384
KindForStatement Expression: 1085
KindForStatement Text: 1085
KindFunctionDeclaration Expression: 23543
KindFunctionDeclaration Initializer: 23543
KindFunctionDeclaration Text: 23543
KindFunctionExpression Expression: 2320
KindFunctionExpression Initializer: 2320
KindFunctionExpression Text: 2320
KindFunctionType Expression: 6774
KindFunctionType Initializer: 6774
KindFunctionType Text: 6774
KindGetAccessor Expression: 1484
KindGetAccessor Initializer: 1484
KindGetAccessor Text: 1484
KindGreaterThanEqualsToken Expression: 723
KindGreaterThanEqualsToken Initializer: 723
KindGreaterThanEqualsToken Text: 723
KindGreaterThanGreaterThanEqualsToken Expression: 28
KindGreaterThanGreaterThanEqualsToken Initializer: 28
KindGreaterThanGreaterThanEqualsToken Text: 28
KindGreaterThanGreaterThanGreaterThanEqualsToken Expression: 24
KindGreaterThanGreaterThanGreaterThanEqualsToken Initializer: 24
KindGreaterThanGreaterThanGreaterThanEqualsToken Text: 24
KindGreaterThanGreaterThanGreaterThanToken Expression: 731
KindGreaterThanGreaterThanGreaterThanToken Initializer: 731
KindGreaterThanGreaterThanGreaterThanToken Text: 731
KindGreaterThanGreaterThanToken Expression: 286
KindGreaterThanGreaterThanToken Initializer: 286
KindGreaterThanGreaterThanToken Text: 286
KindGreaterThanToken Expression: 855
KindGreaterThanToken Initializer: 855
KindGreaterThanToken Text: 855
KindHeritageClause Expression: 5208
KindHeritageClause Initializer: 5208
KindHeritageClause Text: 5208
KindIdentifier Expression: 839822
KindIdentifier Initializer: 839822
KindIfStatement Initializer: 17498
KindIfStatement Text: 17498
KindImportAttribute Expression: 213
KindImportAttribute Initializer: 213
KindImportAttribute Text: 213
KindImportAttributes Expression: 233
KindImportAttributes Initializer: 233
KindImportAttributes Text: 233
KindImportClause Expression: 2885
KindImportClause Initializer: 2885
KindImportClause Text: 2885
KindImportDeclaration Expression: 2984
