pair	before_ns	after_ns	delta_pct
1	146537.191	141201.711	-3.641041
2	148444.611	139397.726	-6.094452
3	146240.285	140813.303	-3.711003
4	146695.068	140787.527	-4.027090
5	141288.757	139158.325	-1.507857
6	143409.688	139944.478	-2.416301
7	141567.545	139511.058	-1.452655
8	144598.521	141165.070	-2.374472
9	144562.582	140778.086	-2.617894
10	147518.097	140863.871	-4.510786
11	147245.677	141183.960	-4.116737
12	146405.222	141041.433	-3.663660
