pair	before_ns	after_ns	delta_pct
1	138081.360	139579.102	1.084681
2	137912.028	139445.079	1.111615
3	138382.914	138407.430	0.017716
4	139675.964	139684.784	0.006314
5	138019.206	139405.538	1.004449
6	138137.217	139382.284	0.901326
7	139554.901	137908.966	-1.179418
8	138058.604	137954.183	-0.075635
9	137844.564	138860.179	0.736783
10	138160.787	138153.300	-0.005419
11	139755.280	140173.198	0.299036
12	139589.915	138073.212	-1.086542
