pair	before_ns	after_ns	delta_pct
1	135347.940	132948.323	-1.772925
2	135438.191	133173.625	-1.672029
3	134837.361	133950.358	-0.657832
4	135682.047	132792.155	-2.129900
5	134920.247	133075.398	-1.367362
6	135399.170	133333.700	-1.525467
7	134891.724	133340.983	-1.149619
8	134776.733	134416.708	-0.267127
9	135023.926	133416.179	-1.190713
10	135067.790	134171.997	-0.663217
11	135027.466	133293.335	-1.284280
12	134842.285	133237.671	-1.189993
