pair	before_ns	after_ns	delta_pct
1	131552.938	133041.260	1.131348
2	132671.183	133382.690	0.536294
3	132709.920	132166.260	-0.409661
4	132811.482	132886.067	0.056159
5	131584.270	133830.078	1.706745
6	131640.584	133067.098	1.083643
7	131883.626	133736.206	1.404708
8	133460.733	131512.288	-1.459939
9	132232.951	132883.708	0.492129
10	132183.675	131683.594	-0.378323
11	131570.964	131534.912	-0.027401
12	133077.556	132243.286	-0.626905
